,Date,Compétition,Lieu,Adversaire,Score
617,1972-04-30,QJO,Extérieur,Togo,3-1
618,1972-04-23,QJO,Domicile,Cameroun,1-1
619,1972-01-09,AMC,Domicile,Congo,0-2
620,1971-12-19,AMC,Domicile,Mali,4-1
621,1971-07-25,AMC,Domicile,Sierra Leone,2-1
622,1971-04-18,QJO,Domicile,Nigeria,2-1
623,1971-04-03,QJO,Extérieur,Nigeria,1-1
624,1971-03-07,AMC,Extérieur,Cameroun,2-1
625,1971-03-04,AMC,Extérieur,Cameroun,1-1
626,1971-01-16,AMC,Domicile,Allemagne,2-1
627,1970-12-06,AMC,Domicile,Togo,5-0
628,1970-11-29,QCAN,Domicile,Guinée,0-0
629,1970-11-15,QCAN,Extérieur,Guinée,0-1
630,1970-10-25,AMC,Extérieur,Togo,0-3
631,1970-10-18,AMC,Extérieur,Côte d'Ivoire,1-0
632,1970-10-11,AMC,Extérieur,Sierra Leone,0-1
633,1970-05-17,AMC,Extérieur,Guinée,0-4
634,1970-05-14,AMC,Extérieur,Guinée,1-3
635,1970-01-11,AMC,Domicile,Côte d'Ivoire,0-2
636,Années 1960,Années 1960,Années 1960,Années 1960,Années 1960
637,1969-10-26,QCAN,Domicile,Guinée,1-1
638,1969-10-12,QCAN,Extérieur,Guinée,3-4
639,1969-02-18,QCDM,Neutre,Maroc,0-2
640,1969-01-26,AMC,Extérieur,RD Congo,0-4
641,1969-01-24,AMC,Extérieur,Cameroun,3-2
642,1969-01-05,QCDM,Domicile,Maroc,2-1
643,1968-12-01,AMC,Extérieur,Ghana,0-2
644,1968-11-03,QCDM,Extérieur,Maroc,0-1
645,1968-03-17,AMC,Extérieur,Mali,2-0
646,1968-02-18,AMC,Domicile,Mali,1-1
647,1968-01-16,CAN,Neutre,RD Congo,1-2
648,1968-01-14,CAN,Neutre,Congo,2-1
649,1968-01-12,CAN,Neutre,Ghana,2-2
650,1967-12-16,AMC,Domicile,Bakou,0-2
651,1967-12-10,AMC,Domicile,Congo,1-0
652,1967-10-22,QCAN,Domicile,Guinée,2-1
653,1967-07-02,QCAN,Domicile,Liberia,4-1
654,1967-04-09,QCAN,Extérieur,Liberia,1-1
655,1967-03-19,QCAN,Domicile,Guinée,4-1
656,1967-03-11,AMC,Domicile,Cameroun,2-0
657,1967-03-08,AMC,Domicile,Cameroun,0-1
658,1967-02-20,QCAN,Extérieur,Guinée,0-3
659,1966-03-06,AMC,Extérieur,Guinée,0-5
660,1965-11-21,CAN,Neutre,Côte d'Ivoire,0-1
661,1965-11-20,CAN,Neutre,Ethiopie,5-1
662,1965-11-14,CAN,Neutre,Tunisie,0-0
663,1965-06-02,AMC,Domicile,Togo,2-0
664,1965-05-05,QCAN,Domicile,Mali,3-1
665,1965-04-18,QCAN,Extérieur,Mali,2-0
666,1965-03-29,QCAN,Extérieur,Guinée,1-3
667,1965-03-14,QJA,Extérieur,Mali,0-4
668,1965-03-07,QJA,Domicile,Mali,3-0
669,1965-02-24,QCAN,Domicile,Guinée,2-0
670,1965-02-10,AMC,Domicile,Ferencvaros,1-2
671,1965-01-13,AMC,Domicile,RD Congo,1-1
672,1964-11-25,AMC,Domicile,Dynamo Minsk,3-4
673,1964-04-29,AMC,Domicile,Peñarol,4-5
674,1964-01-01,AMC,Extérieur,Congo,3-1
675,1964-01-01,AMC,Extérieur,RD Congo,0-2
676,1963-12-15,AMC,Domicile,Guinée,1-1
677,1963-12-05,AMC,Domicile,Hongrie,3-8
678,1963-11-21,AMC,Domicile,Ethiopie,1-2
679,1963-04-20,JA,Neutre,Tunisie,1-1
680,1963-04-18,JA,Neutre,France,2-0
681,1963-04-16,JA,Neutre,Niger,3-1
682,1963-04-14,JA,Neutre,Nigeria,5-1
683,1963-04-12,JA,Neutre,Cameroun,1-0
684,1963-02-27,AMC,Neutre,Nigeria,0-4
685,1963-02-24,AMC,Neutre,Mali,1-3
686,1961-12-31,JA,Neutre,Bénin,3-4
687,1961-12-29,JA,Neutre,Côte d'Ivoire,1-1
688,1961-12-27,JA,Neutre,Cameroun,4-0
689,1961-12-25,JA,Neutre,Gabon,3-2
690,1961-12-02,AMC,Extérieur,Gambie,2-1
691,1961-11-19,AMC,Domicile,Gambie,2-3
692,1961-11-05,AMC,Extérieur,Gambie,5-3
